domain,service,method,payload_type,field_path,value_type,messages_seen
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].multiplier,number,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].percent,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.big_chips_delta.value,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.charms_trade_token_delta,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.chips_delta,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box.box_id,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box.box_type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box.raffle_id,string,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box.source,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box.theme_id,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box.type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box_info.box_id,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box_info.box_type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box_info.event_type,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box_info.highest_guaranteed_rarity,integer,8
